"","x"
"1","year"
"2","calcofi.Bathylagoides.wesethi"
"3","calcofi.Bathylagus.pacificus"
"4","calcofi.Ceratoscopelus.townsendi"
"5","calcofi.Engraulis.mordax"
"6","calcofi.Leuroglossus.stilbius"
"7","calcofi.Lipolagus.ochotensis"
"8","calcofi.Merluccius.productus"
"9","calcofi.Protomyctophum.crockeri"
"10","calcofi.Sardinops.sagax"
"11","calcofi.Stenobrachius.leucopsarus"
"12","calcofi.Symbolophorus.californiensis"
"13","calcofi.Tarletonbeania.crenularis"
"14","calcofi.Triphoturus.mexicanus"
"15","calcofi.Vinciguerria"
"16","RREAS.Citharichthys.sordidus"
"17","RREAS.Citharichthys.stigmaeus"
"18","RREAS.Doryteuthis.opalescens"
"19","RREAS.Engraulis.mordax.yoy"
"20","RREAS.Euphausiacea"
"21","RREAS.Merluccius.productus"
"22","RREAS.Sardinops.sagax.all"
"23","RREAS.Sebastes.entomelas"
"24","RREAS.Sebastes.goodei"
"25","RREAS.Sebastes.jordani"
"26","RREAS.Sebastes.mystinus"
"27","RREAS.Sebastes.paucispinis"
"28","RREAS.Sebastes.semicinctus"
"29","SBRD.ASSP.PROD"
"30","SBRD.BRCO.PROD"
"31","SBRD.CAAU.PROD"
"32","SBRD.COMU.PROD"
"33","SBRD.PECO.PROD"
"34","SBRD.PIGO.PROD"
"35","SBRD.RHAU.PROD"
"36","SBRD.WEGO.PROD"
"37","ZALOPHUS.PUPCT"
"38","ZALOPHUS.PUPGROWTH"
"39","ZALOPHUS.PUPWT"
